Country,Year,Average_Monthly_Income,Cost_of_Living,Housing_Cost_Percentage,Tax_Rate,Savings_Percentage,Healthcare_Cost_Percentage,Education_Cost_Percentage,Transportation_Cost_Percentage,Region
India,2015,6543.262115,,26.4410156,36.45767537,20.80132661,7.712542224,3.965442539,11.1282004,Asia
United States,2017,7806.672687,3114.821239,39.93327844,28.95186659,,13.75540874,12.10914558,9.200636147,Oceania
Japan,2022,8685.459035,6040.574654,48.99382018,14.72090828,,12.09211668,7.638122054,13.02237469,Asia
India,2020,2410.569113,2612.181414,30.94879586,12.45073665,1.970076088,5.652527137,11.0897089,17.21925266,Europe
Australia,2014,4946.888103,4197.128531,,,16.9789249,18.30723292,14.06271994,13.39498739,Europe
Mexico,2007,5148.156853,,41.44590328,,9.442549394,5.567282632,4.178093458,15.6521684,Europe
Mexico,2022,7725.605696,4377.324086,46.03330849,25.45456877,0.86540698,8.248860215,13.45666166,11.35337975,Oceania
Russia,2015,3976.508527,7257.878314,38.007182,11.11123871,28.42223975,10.4793809,13.53654613,5.562249095,North America
Russia,2014,8030.187354,4668.224473,40.54635027,,7.237068367,11.90885871,5.656739483,9.90384663,Europe
Russia,2009,,6409.607051,20.46928877,,,11.43713603,11.71137735,12.22849001,Africa
South Africa,2018,8170.165368,4904.011905,,,29.57947761,6.516024196,14.92167626,6.099412047,North America
South Africa,2012,,2573.531409,46.62731026,23.80185754,26.27282374,17.35364423,3.200002135,6.168312788,Africa
Mexico,2015,7753.029542,7262.377757,48.71809979,26.12399247,8.011898066,13.64171523,13.06958579,6.417912272,South America
Japan,2009,3609.901145,,37.55852464,32.81618276,12.04038731,17.2513012,9.402070988,9.439509747,Oceania
United States,2004,,7702.591545,,10.56732827,,5.457636878,3.094811379,11.95455297,North America
Australia,2001,2758.873808,5269.631688,31.43461713,,9.154189266,13.21687662,9.990163973,17.34693885,South America
Germany,2008,6011.65886,,,20.13709424,13.98598227,13.63494292,13.84399499,9.198057629,Asia
Australia,2007,,3334.570297,21.7539039,,27.86038077,11.66416696,12.76065509,5.793425506,Europe
Brazil,2007,,2800.181141,38.38705756,,,13.81648908,4.246548266,5.1137914,Europe
Mexico,2016,7211.453148,6388.693187,43.71803281,16.28179064,27.00327472,16.9438421,7.815996142,6.576612476,North America
China,2009,9324.271349,5452.934323,35.09677058,,,19.73285487,3.036454293,9.356708838,Europe
Russia,2013,4547.652264,4213.556123,,10.68947396,16.4763822,8.0437054,4.27418936,5.183828589,North America
China,2017,5379.849533,3488.388489,41.25645193,34.35719276,15.01281528,7.875548558,6.974849173,19.91272319,Europe
Japan,2008,2673.508736,2655.234463,44.95752405,17.96617187,6.519724812,8.920934843,6.919972822,9.534630535,Europe
India,2008,5821.789571,5630.593469,,14.75406083,22.37620573,12.69519657,4.043627085,14.10206876,Oceania
Russia,2001,8481.185411,5265.32676,31.31154241,36.65401753,19.62383416,9.106708476,4.699254884,5.644499628,North America
China,2018,2678.541413,3736.968585,35.74472382,32.90360745,9.485640601,5.725276418,5.779565101,17.54113784,South America
Germany,2017,,6376.34918,36.74540434,32.66071445,,6.280778402,3.184076699,10.25674104,Asia
Japan,2004,4452.868087,,39.15080011,26.9782924,,11.38289086,10.99313138,6.917047876,Oceania
Russia,2002,4459.47163,3205.240431,28.80365339,32.97722059,13.01732008,13.48906109,4.611667925,8.836321335,Africa
Japan,2022,8029.008375,6258.989461,42.70583553,19.25865208,8.358000776,18.18494965,14.00403249,10.4328211,Africa
Canada,2018,2499.503942,3418.051848,,24.30115517,27.59491281,19.32012457,12.92048563,7.479620992,South America
Australia,2006,7881.468462,5662.65025,33.6119886,34.11284362,17.81130305,17.92496751,3.244540906,8.244002593,North America
Germany,2011,8367.071156,7312.656524,,28.25278653,6.831070003,9.866237309,7.780631887,18.10555385,Africa
France,2013,5475.785454,4069.513519,,,,5.137723939,8.343237104,17.05488616,North America
China,2008,5849.345226,3438.381675,45.19023825,10.20803811,6.831717063,15.35616254,5.807858464,19.55454673,Asia
Russia,2017,3055.222519,,,20.92182117,24.27734585,7.984021271,10.37383943,9.05121366,Africa
Canada,2004,5121.928246,,,22.99563468,11.16950221,8.419850466,14.2161763,19.6940828,Asia
France,2021,7437.480151,,40.93239889,11.16651395,8.731060607,6.972757329,9.307542481,6.222741606,Europe
United States,2011,7460.15028,2279.435556,,18.80932638,23.44462831,8.03334205,14.6959516,9.701681163,Asia
Brazil,2004,,1383.99954,41.32495967,32.53358185,27.5756475,19.88901419,6.881838789,10.33477498,North America
Brazil,2021,7517.266196,4221.413835,,,23.71952657,7.666978791,14.99688934,14.91553632,Africa
France,2019,3435.351997,1346.943116,,34.44907375,,13.64583918,12.64809125,5.162344197,Oceania
Russia,2011,5678.759049,5974.6191,23.84866941,,5.397273397,5.281770314,3.658190124,13.86411034,Oceania
South Africa,2005,3619.778643,6633.302415,,28.47186873,4.333981513,5.59582877,10.49182998,12.31759723,North America
Germany,2005,9349.281433,2965.901143,35.72541416,15.70980368,,10.37972198,13.75899597,8.719828934,South America
Japan,2003,7796.656182,2560.474804,,,13.56812781,10.9113508,9.361825383,16.37202811,Africa
Brazil,2018,7607.76484,2118.759133,26.87270217,21.9111311,11.03137424,18.46165419,12.43041823,15.05872397,North America
Mexico,2019,8648.197647,5296.424856,46.57081315,38.30836967,0.853414784,6.078461877,3.046547234,7.72028408,Africa
Mexico,2020,9721.032003,4350.60678,35.77993205,23.68441605,,19.96500473,4.829066969,17.46599584,Oceania
France,2001,4386.122908,,,13.63648461,27.79162769,17.85052493,10.05905081,9.136898025,South America
India,2014,2426.508332,4626.1006,22.67747056,31.50616306,22.79242494,11.1006591,8.975404494,17.26231543,Asia
Japan,2016,7284.959579,6559.344012,35.42730653,30.61595976,10.75349188,9.348742703,3.381014501,11.3114208,North America
Russia,2002,7469.693548,1719.299538,33.20896694,15.53598413,21.16168637,19.5812501,6.793468577,14.25557964,South America
India,2004,5804.360133,2571.102974,48.00322224,14.3530411,5.745539704,5.106519869,9.502144784,13.85314817,Oceania
United States,2017,6849.758346,5725.050933,43.98756247,,,8.276925061,14.63523885,17.06309041,North America
United States,2016,2098.246325,2958.380777,,30.61332345,10.39217089,11.10113647,8.916457884,7.595797137,Asia
France,2019,7613.635035,1882.539411,24.52518756,19.84188359,,5.808772559,11.14839528,12.83439949,Oceania
Mexico,2017,6424.057274,5008.789575,46.67164937,28.56530451,27.04906814,10.41077931,8.072054541,18.59457007,Oceania
China,2009,,6083.448106,25.59027654,19.4821521,15.76053927,17.03877869,6.839398345,12.73097442,Oceania
France,2001,6992.287364,6479.178621,24.4847337,16.75632211,28.46228149,19.30335471,3.957545028,9.53503793,Asia
Japan,2020,9217.719376,,42.77915441,21.29346523,8.665801919,19.81749545,4.340321451,14.53416502,South America
Mexico,2012,8502.239114,,37.4257448,,,6.731382593,12.38747893,16.63049326,Asia
Japan,2018,9071.823217,2684.527575,,,13.39849566,12.14072798,3.33914238,11.66437476,North America
France,2010,4477.676273,6962.986468,24.50395073,23.86758447,,9.745942132,10.13230385,17.43034357,Asia
China,2008,,,,14.32976725,27.64380963,12.70892535,7.119902034,5.843904674,Oceania
Japan,2002,2504.758654,7685.516499,,38.99446032,1.08750063,17.43125059,13.47892249,13.77532278,North America
United States,2000,,4007.839032,47.2594855,,13.8511939,13.20737222,14.07744694,10.96630603,North America
Mexico,2017,,3846.167836,,15.93696889,25.16119345,5.40724401,3.105145903,12.46398259,South America
Russia,2005,8974.123138,2079.138749,31.28704403,18.86916002,11.74759369,10.76941487,9.649199339,16.56059218,North America
Australia,2018,2896.254302,,38.23914358,37.78148732,5.488636943,11.84727421,11.98864497,5.86532083,Asia
South Africa,2012,2523.899675,3957.249682,45.64008386,33.34511691,6.9032014,16.52662551,3.44469298,5.943668513,Africa
Japan,2010,7156.924398,7838.636345,28.23830426,35.50739038,18.90310648,17.80941138,3.297404382,13.12014128,Asia
Canada,2007,,5033.781255,45.796083,16.0121347,29.65361612,11.91053688,14.06443592,9.887187957,South America
Brazil,2006,4359.349038,6540.127744,45.24897646,31.89701632,,9.606567098,12.43712258,19.10331025,Africa
Mexico,2016,7443.066049,6991.538093,40.03080344,10.54404578,,12.40641286,10.07118074,10.49878135,North America
China,2018,,7934.778161,33.56028892,16.27721361,22.68573984,11.95957071,4.685236643,12.86639496,Africa
Mexico,2003,7715.192068,6054.13657,22.82643214,,4.263933747,13.94872893,7.506832169,14.62179933,South America
South Africa,2011,5447.64126,7878.174123,,21.95778684,0.136043679,19.52017314,4.684026377,18.33431986,Africa
Mexico,2011,9467.884064,7935.628565,37.16158489,21.58191802,,7.033585143,10.47497224,11.97976514,North America
Russia,2004,,6804.50001,39.78879845,33.68076261,,7.828837062,10.33678037,15.81741948,Oceania
Japan,2022,7651.057388,4234.860446,,30.11696676,23.07784134,10.76339394,10.41553592,10.02532728,Oceania
India,2003,6248.891341,,27.13112495,16.80795382,26.1674844,5.518259442,8.785748506,14.72710292,South America
Canada,2018,8267.424324,1693.564723,26.13553573,26.8096199,9.740734282,7.396853279,9.882155312,16.18205997,Europe
Canada,2007,4597.393208,6494.619783,49.47987455,32.0067708,24.3486927,8.987197409,7.794571137,5.238493265,Oceania
South Africa,2022,,4015.481904,23.39844854,26.30915914,13.67354645,6.555120391,10.4460973,6.151640081,Africa
United States,2013,8615.623057,4753.771398,40.09436361,35.82126601,7.599124559,16.88394201,4.05697734,5.283883261,Africa
Mexico,2014,9682.395187,3373.688574,48.09855553,36.29994057,15.69187757,10.42448075,5.507606331,18.58074619,Asia
Australia,2015,3234.845042,,26.0166878,23.73573435,22.4708231,11.08440701,3.25178054,11.12867121,Oceania
Japan,2017,5956.720441,,44.26904724,36.02410167,,18.42759156,4.724679195,6.69772791,Africa
Russia,2018,7555.219069,,48.1848947,16.13034875,,11.07537127,7.013794508,6.88660732,Africa
Canada,2008,8777.728213,4176.763972,22.46249392,10.84574113,23.83366132,19.61346831,10.76816785,12.4055982,Europe
Canada,2010,7122.944889,2095.776354,32.9228646,22.10518644,0.542255109,19.46509978,9.365626939,16.1032294,Oceania
South Africa,2022,6460.344194,5777.937405,,22.80064027,6.627278979,8.749250575,13.17300769,8.075029814,Africa
Russia,2005,7887.054887,2892.303369,39.63195556,26.28493331,29.59728255,16.5789818,4.914346974,5.264218936,Oceania
Canada,2015,2539.269427,,43.29208639,37.21571845,4.78936543,10.0134768,8.822912429,8.384205044,Asia
Brazil,2006,4377.214247,,22.03614748,23.39599883,,10.98275595,7.267485825,14.58225495,Africa
Russia,2010,4419.222439,5105.150793,43.31848005,28.97516774,10.36973035,17.21768581,9.943302717,11.82293036,North America
Russia,2021,8722.784388,2729.365481,,12.70971956,,16.13065173,14.55535319,7.089979432,Europe
Canada,2001,3476.454619,2275.552716,40.47445703,12.14495042,14.03000144,11.752619,8.877000242,8.687991654,Asia
Russia,2006,,3024.626742,26.09394486,11.16819201,11.83622221,11.60892799,11.27184254,13.63897374,South America
China,2020,5761.066782,7264.977325,39.34926381,,14.30924988,9.302020534,3.49938738,17.81079914,South America
Germany,2022,8512.753545,,39.81067689,16.13065476,10.01413146,6.985771094,3.972614833,19.48163657,South America
South Africa,2013,6709.359142,922.1505538,31.59110825,17.39071368,,15.82378461,8.25880737,13.23946191,Asia
Germany,2000,,4402.151364,32.99842755,,16.04091501,14.74294941,12.65918598,15.40786624,Asia
Australia,2004,6941.478384,6260.975883,39.00593963,11.30437902,17.24739626,12.33122156,8.707088202,11.67143219,Europe
India,2019,5133.391674,5190.091049,35.38026223,12.40055226,5.067815983,12.82557312,14.35660313,15.56392455,Africa
Russia,2007,,3954.811727,41.95337358,21.92996684,25.98498422,17.94621144,9.716778553,13.09230787,Asia
United States,2004,9573.67217,2076.287576,48.07387821,,8.920455446,19.80138512,14.6476441,17.55003744,Africa
Brazil,2012,8433.266058,1697.027299,26.210185,36.87772602,29.54010102,19.98997184,10.33628032,18.08725801,Europe
India,2011,6396.732528,1007.656705,27.9851439,11.65640918,21.52131629,13.64773867,10.85172322,8.846123576,South America
India,2016,7064.816121,712.8647454,,22.93146051,19.19528094,18.6287681,10.95890936,12.42241953,Africa
China,2010,7200.707575,2177.846432,49.30449137,18.86693406,12.66766419,6.505348155,10.75809352,12.18322704,Oceania
United States,2008,3823.944064,4531.23087,46.18718662,22.75188357,,9.190451995,9.149449376,19.27809368,Asia
Australia,2000,7570.369544,3366.807818,22.0293605,10.03690111,,9.222933343,9.004422452,11.05396971,Europe
Brazil,2013,8246.649163,809.1433007,42.96483671,16.04031354,7.37903543,8.973282026,6.65216425,14.85632328,Oceania
India,2010,,2460.551849,47.16781897,17.37184671,,6.954159165,4.632101022,14.16207897,Oceania
India,2002,,,27.24947398,22.13077896,29.99382189,18.69401281,6.540824415,10.2994851,North America
Russia,2002,2511.155012,7982.24626,32.52510351,,22.20727857,13.24188241,8.159401184,8.584698668,Europe
Brazil,2016,4246.297384,2759.194182,39.11829544,18.22510313,14.79836938,17.15599335,13.96115544,11.68417514,Europe
Japan,2020,5648.518344,6554.174776,33.46654837,13.03101269,1.587882692,5.046686533,4.34894542,19.01704654,North America
Mexico,2016,8718.661609,5490.933547,25.02847765,38.19464117,18.48044312,7.29017912,4.255012974,15.90048171,South America
India,2013,9712.104707,,,,6.82906048,17.80567053,9.590517461,5.163345618,Europe
Japan,2001,2290.468687,1069.917686,21.69945258,10.31101209,6.186726311,16.49307712,11.07355127,10.23678665,North America
France,2022,,6786.545701,49.46695539,10.69106512,,15.45235267,3.91843974,10.1360526,North America
United States,2012,5423.338139,,26.83643289,33.50673298,24.00359896,15.24846646,13.56886236,17.89716447,Oceania
Mexico,2014,5025.410965,6337.814692,48.14838684,,20.81716675,13.50728556,5.75917722,11.37609654,North America
France,2002,2329.154905,6485.984075,40.95195314,24.08674671,,8.319471114,7.583687665,6.347598504,Europe
Brazil,2012,5621.274342,2977.218282,20.78317706,,,12.20733124,9.506419205,13.33988865,Africa
India,2007,9834.069912,5941.883716,,14.41382428,0.640340479,6.423053755,11.70238425,10.72219773,Asia
United States,2020,3941.726917,7399.924819,30.27778532,19.50904915,9.704576197,7.027069102,6.704765867,9.698068676,South America
South Africa,2018,8751.122222,6761.468125,48.01102114,38.41005086,25.99184276,14.06469438,5.333306623,13.60684873,North America
France,2002,6134.115008,1523.532561,47.13944005,12.53269933,25.99019581,11.67494931,8.35430374,16.53950999,Europe
China,2004,2903.866839,3708.257251,,28.45307693,17.98679182,15.79482642,7.000565721,11.03285483,Oceania
Japan,2010,5866.176944,1438.660594,48.26030406,26.47349397,,13.81735432,4.59120417,16.52719592,Europe
Russia,2014,,,43.7554249,29.43487633,,9.156549008,12.83645333,15.52360005,Africa
Japan,2016,2748.439758,2568.532581,,28.81299088,23.18069762,10.9689587,11.55524849,8.781349654,Oceania
Mexico,2000,,7797.789077,,36.54550512,,12.41083632,4.931346749,16.31897691,South America
France,2009,9794.318406,5453.184381,35.78925438,,6.351123897,13.93760002,10.35363966,7.608550116,Africa
Mexico,2017,,3231.336254,21.14683266,25.76903985,17.47788496,15.03995314,9.069843062,11.06390144,North America
China,2008,2378.676006,553.6213916,29.21773727,27.20540693,1.305746357,14.14789733,9.756011065,6.81706092,Oceania
Australia,2013,5312.021529,,32.9284498,,24.61512609,5.067093987,4.899542056,18.43064442,Africa
Germany,2000,3786.738995,1500.701581,21.67757643,23.8985689,7.151827359,5.57560531,5.447989157,12.11190252,South America
China,2016,6592.727935,7514.222178,22.04979681,13.12357745,19.99429394,8.785771648,4.176407051,13.58036889,Asia
France,2006,,3436.015645,31.98169164,26.14399838,,17.75044525,13.84555141,14.50734439,North America
Japan,2006,5950.462505,4601.475299,24.14302129,26.47358166,,15.99634261,9.131072061,17.89769694,Oceania
Russia,2018,4385.418609,3852.855448,,28.94680472,28.95658641,16.65295329,6.943049436,18.17594898,Asia
Brazil,2012,,,46.47832286,16.91987749,,5.649345897,9.421036687,5.845142033,Africa
China,2017,5504.371534,7838.229374,48.18597383,15.29822179,,18.09486421,12.56475206,10.57921434,North America
India,2017,6982.954702,,48.26112702,22.87920503,,10.75625809,5.693944963,7.002185639,South America
China,2022,6291.045421,3745.072943,43.08367016,34.30165896,4.692638989,16.11173035,4.307639179,15.01357151,Africa
France,2008,8476.728546,2190.798121,25.97609989,34.8321604,15.20312681,12.97322424,10.79670466,18.14927953,North America
Germany,2019,3569.266797,7029.364056,,,29.21339417,11.50400219,6.785797971,17.03704636,Africa
United States,2011,,5431.280594,22.91598094,10.05699506,20.34225167,8.260323473,5.153517451,16.34137276,Oceania
France,2021,8024.425052,,42.02016725,32.94070439,3.784491303,17.14137829,8.386161822,13.13750116,South America
Mexico,2021,6565.233106,7239.615568,36.58023977,,11.97277076,12.1569853,12.00372231,5.539368497,North America
Brazil,2009,7311.958737,1634.334148,37.39962073,27.99533323,,15.59397599,4.85229833,18.53400713,Oceania
South Africa,2011,8511.52069,6758.237475,23.6236263,39.45066288,,16.06191287,11.1697019,11.40021038,South America
Japan,2017,6027.763793,,22.41195911,,,15.04212582,10.09459872,9.093980981,Asia
United States,2005,4776.055265,2607.827333,40.42544862,17.91324785,10.20737155,14.43788373,6.129009881,15.79717474,Oceania
Russia,2007,2387.855276,3963.111227,38.01676491,21.42054315,29.88384949,19.69874238,10.08438063,6.259638621,Africa
France,2012,6976.862506,1493.511172,,33.39093837,,18.46942986,7.664351381,8.263699474,Europe
Canada,2002,,6963.688861,26.64083326,25.68317525,,18.77531253,10.8113904,9.483202347,Asia
Japan,2003,7397.667532,4311.423218,33.27235665,18.23650547,4.64723672,19.21312897,8.235721299,19.65471266,Africa
Canada,2021,7645.682178,4644.230699,28.57629658,,18.64133907,17.31963286,5.897095458,16.75310644,South America
Brazil,2018,4992.572667,5640.869324,47.40031299,13.25470559,23.08059634,8.992638453,10.3581238,10.19117681,Europe
Mexico,2017,4077.328905,,29.07161153,23.14780969,0.792686629,17.13376111,7.11577528,15.16470405,North America
United States,2022,3423.821978,5414.623918,33.83617909,39.39082034,24.73303399,11.99703664,4.328104512,19.99210028,Asia
Russia,2012,9496.441846,3630.033859,41.81579487,18.61336082,23.51656548,14.14009432,14.04691049,17.93553071,Oceania
Mexico,2005,,6887.121932,26.45080564,32.64918339,,6.873557525,7.028771464,14.47498486,Africa
Japan,2017,7375.911931,4934.02364,40.03776957,32.59824491,12.29094485,6.40197077,5.614249886,7.857878276,North America
South Africa,2007,4944.876181,4213.12511,37.10917818,,19.18966226,14.48829714,6.281007347,12.51863841,Africa
United States,2021,5676.582912,3684.551618,32.88929664,21.92444093,7.720737751,10.4890361,13.94889373,13.21395835,Oceania
United States,2001,7070.895139,,30.64142075,,14.25655818,9.339361288,12.88868462,19.36985144,South America
Russia,2014,3790.33076,3839.94995,30.87974948,21.29917111,23.06744111,15.7856448,4.570247975,11.35072545,Africa
India,2001,9447.469888,3073.704133,,,2.414247433,5.555725361,4.901064316,6.047677258,Oceania
United States,2014,7967.293901,4938.66198,,17.53566364,24.85454927,17.08996774,10.13363157,12.50157107,Africa
Australia,2021,3541.484113,1160.268695,,19.23051405,3.258442693,19.63381489,6.687983555,18.53840626,South America
China,2009,9298.676601,4579.983942,,14.20553686,29.49952317,10.51622696,10.02197886,14.26021485,Oceania
Russia,2022,3198.950658,3079.521336,27.63048999,11.62739497,11.95570229,18.2285908,8.993286612,7.772226636,Oceania
France,2001,2964.477391,1983.292084,27.98026834,19.63025108,2.368827072,15.76932371,7.634583423,13.62157798,Asia
Brazil,2022,4335.980323,6882.525637,,38.17584965,27.64922056,5.77787048,4.980117638,13.12539835,Europe
India,2014,7873.592584,,24.68553856,33.10638902,,5.37305915,13.61289238,12.47811141,North America
Japan,2021,9866.970515,4540.823493,,36.09743939,17.96296072,9.212858535,14.75910181,8.28751961,Asia
Brazil,2004,6790.006244,1934.976749,25.63121299,,13.72648769,11.46891373,3.050544984,10.52153978,South America
United States,2011,8367.200437,3878.774054,30.43195972,,,15.88034966,3.591070254,7.553019437,Africa
Japan,2018,8143.196052,6061.084948,,24.92581785,,10.12187829,3.834728025,17.01166054,Africa
South Africa,2017,6068.563222,,41.38481206,24.81198592,,9.353997524,9.293034242,14.51409659,Africa
India,2015,3550.275887,4599.830091,38.83852281,14.55536618,21.8963969,16.08916986,14.27455187,17.48277041,North America
India,2013,,,,16.11891206,6.648858665,14.29137198,3.650122138,10.70908626,North America
Australia,2013,3195.887772,1125.535386,38.91480542,38.3907573,12.80660121,18.67020312,6.44071775,14.20375575,Oceania
China,2010,9345.276458,,24.33874077,26.46666586,25.67835973,19.66725715,12.63592451,14.55807498,Oceania
India,2015,6540.659091,6092.477825,39.87527945,10.53794271,,5.567225509,13.17940722,10.8505779,Asia
India,2001,8490.893135,,28.00254617,39.88842771,6.589700906,17.90918024,5.717313272,18.50693239,South America
Brazil,2021,,,38.30578557,30.80254936,2.715418917,8.202033942,7.684180781,15.65965178,Africa
Germany,2006,8467.390863,1949.29897,,,18.04576525,19.7851698,8.326331051,17.34190586,Africa
Japan,2000,2506.748402,6912.796573,34.96914114,18.83757693,29.44313904,6.096247637,3.687344111,15.80589276,North America
Germany,2013,6457.187312,2299.714997,,27.56394564,19.52235638,7.552151489,6.246763152,18.07620534,Europe
France,2004,9311.867055,4512.404537,46.11177194,11.39610826,4.513941946,17.68277947,3.177223582,7.750816555,Africa
Japan,2018,5847.21146,626.9543711,30.46686505,16.51427877,17.83159854,8.421511032,10.85021464,5.45012641,Africa
Canada,2015,,,37.72216103,11.4731509,,16.84898794,3.827516952,9.27785129,Oceania
Mexico,2007,2628.04686,914.1619221,,22.43856584,13.32028831,14.40961715,3.463721072,13.18380889,Africa
United States,2018,,,42.94347404,30.21101186,,10.68132906,14.46117056,12.34941683,Africa
United States,2007,5398.934422,1538.461878,39.00346069,10.32554495,,14.35590819,14.00309899,7.817043203,Oceania
Japan,2007,3136.921517,6134.625905,24.84657836,39.03283701,,14.50598487,10.00402658,13.22398205,Oceania
Mexico,2013,3145.17867,,,39.01411814,28.90578341,10.90450503,3.954013337,10.44572817,North America
Brazil,2020,4498.988738,3445.159697,25.60720955,18.37288365,,9.292001592,8.951147691,10.521327,South America
Japan,2013,,4517.657557,21.19515732,29.71881818,23.5639863,15.47496774,13.30926667,12.10600789,Asia
United States,2000,,855.1743167,35.76210874,,14.16273721,10.78484565,6.13201574,8.290798528,Europe
United States,2006,9024.569122,6086.496283,41.36832227,12.30736185,20.86387625,12.62752982,11.30335129,17.52951945,South America
South Africa,2000,4152.086094,,20.69726147,19.4919436,26.26592282,8.728064854,12.66222151,5.212794489,South America
Mexico,2006,2755.360778,5699.016906,29.61378764,38.53133473,7.72192131,13.16097324,8.458580765,19.31385574,South America
South Africa,2002,9358.269502,995.4908856,20.52613558,12.19811305,7.782904519,11.51186255,13.05221598,9.180018253,Africa
Russia,2018,,6622.517328,20.58684511,25.46151265,11.90886861,14.12196841,14.69327694,18.52530315,South America
Germany,2011,2660.220862,5471.530307,41.65030832,32.93368462,22.94678969,18.29975919,12.68998428,14.16263598,Europe
China,2009,9579.399966,3468.577917,22.80447089,35.6140304,21.23526736,11.00434434,5.973886773,6.580865395,Asia
Mexico,2010,9234.051105,,48.23174518,15.95170026,5.953903983,18.93997456,8.902252464,11.67984724,South America
South Africa,2011,6681.305895,3317.629594,,37.45742084,21.30162574,14.16630851,4.793316718,9.105186693,Europe
Australia,2003,8571.431067,2987.485221,21.22692423,,0.938668165,8.869821556,7.696296291,10.21959445,Africa
Canada,2014,,1076.237989,45.66951687,12.03346683,23.4650953,10.70636282,9.71597549,6.830762954,Africa
Australia,2014,9852.962057,,,29.94033635,9.836465379,13.28916429,6.752914299,10.73532107,Africa
Australia,2012,,3185.962495,30.16971313,30.56971621,9.757735908,17.67552508,5.282379285,18.17409428,Europe
Russia,2011,,4058.250732,46.75493263,28.39301253,,8.863839142,14.27697141,5.843023452,Oceania
Australia,2007,9848.940461,6494.629889,36.08650627,34.89276257,15.48079461,11.93742101,3.110853679,5.462575459,North America
China,2015,3283.766891,,45.04447424,37.86198448,29.15816844,9.169076952,4.319521447,8.934253156,North America
Mexico,2020,2492.325238,1003.844144,20.47453287,27.68143885,4.562435978,11.48735973,8.887956099,12.8297706,South America
Canada,2005,7876.943705,4090.805655,49.11026409,24.8923464,5.421834234,18.95644552,7.911604162,5.480988431,Oceania
Japan,2016,6348.181793,,22.4215927,15.09450839,10.09603551,14.60324168,10.70295192,10.92533869,Asia
Australia,2018,8541.808288,1893.60052,,,14.47003892,6.105742445,14.68308434,6.91771857,Europe
Canada,2005,6487.616577,7052.694783,,28.12823165,10.58322756,13.78704654,5.611930115,8.68595327,North America
India,2013,4115.165398,1705.628776,33.37023625,30.86974164,,12.41481339,3.60421056,19.95008007,Oceania
Australia,2013,8970.124212,6149.238615,43.49293404,39.07464828,8.116236939,5.292189734,13.21127493,15.48487143,Oceania
Mexico,2003,6344.669239,,40.14020765,23.10922392,4.766903761,18.69471896,3.067554491,15.26222154,North America
Australia,2015,6906.179555,3488.499313,43.1495067,16.64325629,8.339466777,16.23112806,9.059358278,10.60710752,Asia
Germany,2000,6409.923019,1970.487303,,26.09876394,14.19665208,15.53515247,10.39707073,8.824166059,Africa
United States,2000,3970.342896,4085.918008,24.87003657,23.86580596,14.1343324,10.25237685,13.62518011,11.79309186,Africa
Mexico,2010,9781.888213,3012.06436,,,,18.40190259,13.00060933,9.574330006,Africa
Mexico,2014,,5901.47728,,21.81134881,21.9563294,6.818857631,14.98885287,12.76434935,Oceania
South Africa,2018,7065.826157,6027.469218,23.82223145,31.8293499,,11.4511394,13.9357979,16.56317966,Asia
India,2004,7383.474429,5296.831442,,21.09367404,2.628989247,18.28302581,14.48284775,17.88809447,Oceania
Mexico,2015,7923.398331,7259.516158,26.59228408,35.20210694,2.82811239,13.31493779,3.122350782,6.655056054,South America
France,2007,8849.629494,,33.5273281,33.52275123,6.83866727,17.31140265,14.42019501,8.313302599,North America
Mexico,2018,,2530.614789,20.37155531,20.3570368,24.71440122,7.047325993,14.76038089,10.94987264,Asia
Russia,2018,5283.691634,3988.435431,,32.57069036,3.224128511,18.56221639,11.26537337,6.408909728,Europe
Japan,2012,9577.59659,4557.656883,,31.50006334,9.18709213,8.399466926,3.584626985,18.16118986,Oceania
China,2013,,1233.669896,23.00365924,20.63384169,5.272266913,14.59284744,6.124867367,6.450185312,North America
South Africa,2002,2889.363978,3164.749419,35.01763244,10.79966003,16.56461024,18.28248636,7.998243213,12.22521119,Oceania
Germany,2005,9966.328663,4569.803504,37.07219211,26.84922912,8.434454558,7.147662043,4.62885921,7.441276307,South America
China,2005,,,44.40226568,14.98070619,6.44827355,15.21915571,9.794308157,8.559538399,South America
Japan,2006,3690.983072,,39.34040926,30.54700364,,12.76130454,13.64660603,5.836084335,Asia
Australia,2018,5010.604164,6107.304398,34.05613892,31.34390238,,11.96867782,11.61189161,5.589703495,Africa
United States,2007,8234.6468,6751.435638,,14.90153216,3.13139297,6.566718887,5.374554954,11.76510233,Europe
Russia,2004,,2131.3949,,31.12255614,8.47083965,19.35621699,13.94883962,16.3797538,North America
Germany,2001,3323.394862,3486.367444,34.6773069,,,8.299099243,14.96001198,12.22668385,North America
Mexico,2015,4892.748651,2353.434356,22.72755555,14.63488226,,18.13451623,14.28196306,16.99891341,North America
India,2000,3920.755779,4977.787179,39.37823924,18.16919182,11.52683545,16.61479687,14.68041204,10.05879365,Africa
Australia,2007,8149.388725,6593.102533,46.58602659,26.31451637,,11.00527682,14.51347224,5.830893983,Oceania
Germany,2016,8599.536531,4061.593311,23.84066484,,21.12199189,11.03337209,14.68631194,5.782039131,Asia
Japan,2014,7279.342629,,29.85114995,11.06925302,4.619659009,11.50289347,7.95158225,14.4341111,Europe
